Lap1 - Lap1: soft, LAP: 1, hard, time:0:59:24
Lap1 - Lap2: soft, LAP: 2, hard, time:0:59:26
Lap1 - Lap3: soft, LAP: 3, hard, time:0:59:32
Lap1 - Lap4: soft, LAP: 4, hard, time:0:59:42
Lap1 - Lap5: soft, LAP: 5, hard, time:0:59:57
Lap1 - Lap6: soft, LAP: 6, hard, time:1:0:17
Lap1 - Lap7: soft, LAP: 7, hard, time:1:0:43
Lap1 - Lap8: soft, LAP: 8, hard, time:1:1:14
Lap1 - Lap9: soft, LAP: 9, hard, time:1:1:51
Lap1 - Lap10: soft, LAP: 10, medium, time:1:21:52
Lap1 - Lap10: soft, LAP: 10, hard, time:1:2:35
Lap1 - Lap1: medium, LAP: 1, hard, time:0:59:25
Lap1 - Lap2: medium, LAP: 2, hard, time:0:59:26
Lap1 - Lap3: medium, LAP: 3, hard, time:0:59:29
Lap1 - Lap4: medium, LAP: 4, hard, time:0:59:34
Lap1 - Lap5: medium, LAP: 5, hard, time:0:59:41
Lap1 - Lap6: medium, LAP: 6, hard, time:0:59:50
Lap1 - Lap7: medium, LAP: 7, hard, time:1:0:2
Lap1 - Lap8: medium, LAP: 8, hard, time:1:0:16
Lap1 - Lap9: medium, LAP: 9, hard, time:1:0:33
Lap1 - Lap10: medium, LAP: 10, hard, time:1:0:53
Lap1 - Lap11: medium, LAP: 11, hard, time:1:1:16
Lap1 - Lap12: medium, LAP: 12, hard, time:1:1:42
Lap1 - Lap13: medium, LAP: 13, hard, time:1:2:11
Lap1 - Lap14: medium, LAP: 14, hard, time:1:2:43
Lap1 - Lap15: medium, LAP: 15, hard, time:1:3:19
Lap1 - Lap16: medium, LAP: 16, hard, time:1:3:57
Lap1 - Lap17: medium, LAP: 17, hard, time:1:4:39
Lap1 - Lap18: medium, LAP: 18, hard, time:1:5:25
Lap1 - Lap19: medium, LAP: 19, hard, time:1:6:15
Lap1 - Lap20: medium, LAP: 20, soft, time:1:41:11
Lap1 - Lap20: medium, LAP: 20, hard, time:1:7:9
Lap1 - Lap10: hard, LAP: 10, medium, time:1:18:43
Lap1 - Lap11: hard, LAP: 11, medium, time:1:18:20
Lap1 - Lap12: hard, LAP: 12, medium, time:1:17:54
Lap1 - Lap13: hard, LAP: 13, medium, time:1:17:25
Lap1 - Lap14: hard, LAP: 14, medium, time:1:16:53
Lap1 - Lap15: hard, LAP: 15, medium, time:1:16:17
Lap1 - Lap16: hard, LAP: 16, medium, time:1:15:39
Lap1 - Lap17: hard, LAP: 17, medium, time:1:14:57
Lap1 - Lap18: hard, LAP: 18, medium, time:1:14:11
Lap1 - Lap19: hard, LAP: 19, medium, time:1:13:21
Lap1 - Lap20: hard, LAP: 20, soft, time:1:33:28
Lap1 - Lap20: hard, LAP: 20, medium, time:1:12:27
Lap1 - Lap21: hard, LAP: 21, soft, time:1:31:6
Lap1 - Lap21: hard, LAP: 21, medium, time:1:11:29
Lap1 - Lap22: hard, LAP: 22, soft, time:1:28:33
Lap1 - Lap22: hard, LAP: 22, medium, time:1:10:28
Lap1 - Lap23: hard, LAP: 23, soft, time:1:25:47
Lap1 - Lap23: hard, LAP: 23, medium, time:1:9:22
Lap1 - Lap24: hard, LAP: 24, soft, time:1:22:47
Lap1 - Lap24: hard, LAP: 24, medium, time:1:8:11
Lap1 - Lap25: hard, LAP: 25, soft, time:1:19:33
Lap1 - Lap25: hard, LAP: 25, medium, time:1:6:56
Lap1 - Lap26: hard, LAP: 26, soft, time:1:16:5
Lap1 - Lap26: hard, LAP: 26, medium, time:1:5:37
Lap1 - Lap27: hard, LAP: 27, soft, time:1:12:21
Lap1 - Lap27: hard, LAP: 27, medium, time:1:4:12
Lap1 - Lap28: hard, LAP: 28, soft, time:1:8:20
Lap1 - Lap28: hard, LAP: 28, medium, time:1:2:42
Lap1 - Lap29: hard, LAP: 29, soft, time:1:4:2
Lap1 - Lap29: hard, LAP: 29, medium, time:1:1:7
Lap1 - Lap30: hard, LAP: 30, soft, time:2:29:58
Lap1 - Lap30: hard, LAP: 30, medium, time:2:47:49
